iid,pid,gender,age,age_o,d_age,race,race_o,samerace,importance_same_race,importance_same_religion,field,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,pref_o_shared_interests,attractive_o,sinsere_o,intelligence_o,funny_o,ambitous_o,shared_interests_o,attractive_important,sincere_important,intellicence_important,funny_important,ambtition_important,shared_interests_important,attractive,sincere,intelligence,funny,ambition,attractive_partner,sincere_partner,intelligence_partner,funny_partner,ambition_partner,shared_interests_partner,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,interests_correlate,expected_happy_with_sd_people,expected_num_interested_in_me,expected_num_matches,like,guess_prob_liked,met,decision,decision_o,match,
182,193,female,22,25,3,black/african american,asian/pacific islander/asian-american,0,7,5,epidemiology,20.93,16.28,23.26,16.28,11.63,11.63,3,9,7,6,8,6,16.07,17.86,17.86,17.86,17.86,12.5,8,8,8,8,10,5,8,9,9,9,6,6,2,8,3,2,1,4,1,7,8,2,6,4,10,8,1,0.53,6,,2,8,6,0,0,0,0,
183,184,female,24,34,10,european/caucasian-american,european/caucasian-american,1,1,1,social work,16.67,16.67,16.67,16.67,16.67,16.67,10,10,10,10,10,10,20,22.5,17.5,22.5,10,7.5,9,7,9,9,7,8,9,9,7,6,9,6,8,9,8,8,9,9,9,7,8,8,9,9,10,8,1,0.28,5,,5,7,9,0,1,1,1,
183,185,female,24,25,1,european/caucasian-american,asian/pacific islander/asian-american,0,1,1,social work,16.98,15.09,16.98,16.98,18.87,15.09,6,6,6,7,6,10,20,22.5,17.5,22.5,10,7.5,9,7,9,9,7,7,6,7,6,6,7,6,8,9,8,8,9,9,9,7,8,8,9,9,10,8,1,-0.01,5,,5,7,5,0,0,0,0,
183,186,female,24,24,0,european/caucasian-american,asian/pacific islander/asian-american,0,1,1,social work,19.44,19.44,22.22,16.67,11.11,11.11,7,7,6,6,5,3,20,22.5,17.5,22.5,10,7.5,9,7,9,9,7,8,8,8,7,6,5,6,8,9,8,8,9,9,9,7,8,8,9,9,10,8,1,0.4,5,,5,8,5,0,0,0,0,
183,187,female,24,26,2,european/caucasian-american,european/caucasian-american,1,1,1,social work,16.98,16.98,18.87,16.98,13.21,16.98,4,,,1,,1,20,22.5,17.5,22.5,10,7.5,9,7,9,9,7,6,6,6,6,6,6,6,8,9,8,8,9,9,9,7,8,8,9,9,10,8,1,-0.13,5,,5,6,5,0,0,0,0,
183,188,female,24,21,3,european/caucasian-american,european/caucasian-american,1,1,1,social work,15.56,11.11,22.22,15.56,20,15.56,4,5,5,5,5,5,20,22.5,17.5,22.5,10,7.5,9,7,9,9,7,6,7,7,7,7,6,6,8,9,8,8,9,9,9,7,8,8,9,9,10,8,1,0.31,5,,5,5,5,0,0,0,0,
183,189,female,24,27,3,european/caucasian-american,other,0,1,1,social work,16.98,16.98,16.98,16.98,16.98,15.09,6,8,7,7,7,6,20,22.5,17.5,22.5,10,7.5,9,7,9,9,7,6,8,8,7,6,9,6,8,9,8,8,9,9,9,7,8,8,9,9,10,8,1,0.05,5,,5,5,6,0,0,0,0,
183,190,female,24,25,1,european/caucasian-american,european/caucasian-american,1,1,1,social work,15.56,20,20,20,13.33,11.11,8,3,8,8,4,1,20,22.5,17.5,22.5,10,7.5,9,7,9,9,7,7,7,7,9,9,9,6,8,9,8,8,9,9,9,7,8,8,9,9,10,8,1,0.24,5,,5,9,5,1,0,1,0,
183,191,female,24,28,4,european/caucasian-american,european/caucasian-american,1,1,1,social work,20.45,20.45,20.45,18.18,18.18,2.27,5,7,7,6,6,6,20,22.5,17.5,22.5,10,7.5,9,7,9,9,7,7,7,7,7,7,7,6,8,9,8,8,9,9,9,7,8,8,9,9,10,8,1,0.43,5,,5,7,6,0,1,0,0,
183,192,female,24,24,0,european/caucasian-american,european/caucasian-american,1,1,1,social work,19.57,19.57,15.22,17.39,15.22,13.04,5,7,6,5,5,6,20,22.5,17.5,22.5,10,7.5,9,7,9,9,7,8,8,8,8,8,8,6,8,9,8,8,9,9,9,7,8,8,9,9,10,8,1,0.32,5,,5,8,6,0,1,0,0,
183,193,female,24,25,1,european/caucasian-american,asian/pacific islander/asian-american,0,1,1,social work,20.93,16.28,23.26,16.28,11.63,11.63,6,8,7,7,6,6,20,22.5,17.5,22.5,10,7.5,9,7,9,9,7,7,8,7,6,6,6,6,8,9,8,8,9,9,9,7,8,8,9,9,10,8,1,-0.38,5,,5,8,5,0,0,0,0,
184,174,male,34,29,5,european/caucasian-american,asian/pacific islander/asian-american,0,1,1,international business,9.52,23.81,16.67,16.67,16.67,16.67,5,6,6,6,6,6,16.67,16.67,16.67,16.67,16.67,16.67,6,10,7,9,5,8,10,10,8,6,7,2,4,8,8,7,8,3,8,8,3,9,8,5,6,2,8,0.34,9,,2,7,7,0,1,1,1,
184,175,male,34,23,11,european/caucasian-american,other,0,1,1,international business,12.24,20.41,16.33,14.29,20.41,16.33,7,7,7,7,7,7,16.67,16.67,16.67,16.67,16.67,16.67,6,10,7,9,5,7,10,10,7,10,8,2,4,8,8,7,8,3,8,8,3,9,8,5,6,2,8,0.41,9,,2,5,9,1,0,1,0,
184,176,male,34,28,6,european/caucasian-american,asian/pacific islander/asian-american,0,1,1,international business,13.04,21.74,19.57,17.39,15.22,13.04,7,7,8,6,7,5,16.67,16.67,16.67,16.67,16.67,16.67,6,10,7,9,5,10,10,10,7,10,6,2,4,8,8,7,8,3,8,8,3,9,8,5,6,2,8,0.48,9,,2,9,7,0,1,1,1,
184,177,male,34,22,12,european/caucasian-american,european/caucasian-american,1,1,1,international business,15.09,16.98,16.98,16.98,18.87,15.09,5,7,7,5,6,5,16.67,16.67,16.67,16.67,16.67,16.67,6,10,7,9,5,8,10,10,10,10,10,2,4,8,8,7,8,3,8,8,3,9,8,5,6,2,8,0.07,9,,2,9,8,0,0,1,0,
184,178,male,34,35,1,european/caucasian-american,asian/pacific islander/asian-american,0,1,1,international business,15.22,17.39,17.39,17.39,15.22,17.39,5,7,7,5,,4,16.67,16.67,16.67,16.67,16.67,16.67,6,10,7,9,5,8,10,10,8,9,7,2,4,8,8,7,8,3,8,8,3,9,8,5,6,2,8,0.64,9,,2,8,6,0,1,0,0,
184,179,male,34,30,4,european/caucasian-american,latino/hispanic american,0,1,1,international business,19.15,21.28,17.02,17.02,12.77,12.77,3,7,6,4,6,7,16.67,16.67,16.67,16.67,16.67,16.67,6,10,7,9,5,10,10,10,10,10,5,2,4,8,8,7,8,3,8,8,3,9,8,5,6,2,8,0.38,9,,2,8,5,0,1,0,0,
184,180,male,34,24,10,european/caucasian-american,asian/pacific islander/asian-american,0,1,1,international business,15.38,17.31,17.31,19.23,13.46,17.31,7,8,7,8,7,6,16.67,16.67,16.67,16.67,16.67,16.67,6,10,7,9,5,10,9,8,8,9,9,2,4,8,8,7,8,3,8,8,3,9,8,5,6,2,8,0.24,9,,2,6,6,0,1,1,1,
184,181,male,34,22,12,european/caucasian-american,black/african american,0,1,1,international business,15.38,19.23,19.23,17.31,17.31,11.54,8,9,8,9,10,7,16.67,16.67,16.67,16.67,16.67,16.67,6,10,7,9,5,10,10,10,8,10,9,2,4,8,8,7,8,3,8,8,3,9,8,5,6,2,8,0.43,9,,2,9,6,0,0,1,0,
184,182,male,34,22,12,european/caucasian-american,black/african american,0,1,1,international business,16.07,17.86,17.86,17.86,17.86,12.5,7,8,8,8,9,8,16.67,16.67,16.67,16.67,16.67,16.67,6,10,7,9,5,8,10,10,8,9,6,2,4,8,8,7,8,3,8,8,3,9,8,5,6,2,8,-0.34,9,,2,7,5,0,0,1,0,
184,183,male,34,24,10,european/caucasian-american,european/caucasian-american,1,1,1,international business,20,22.5,17.5,22.5,10,7.5,8,9,9,7,6,9,16.67,16.67,16.67,16.67,16.67,16.67,6,10,7,9,5,10,10,10,10,10,10,2,4,8,8,7,8,3,8,8,3,9,8,5,6,2,8,0.28,9,,2,10,7,0,1,1,1,
185,174,male,25,29,4,asian/pacific islander/asian-american,asian/pacific islander/asian-american,1,3,4,statistics,9.52,23.81,16.67,16.67,16.67,16.67,5,5,5,5,5,,16.98,15.09,16.98,16.98,18.87,15.09,10,10,7,8,8,6,6,7,6,5,8,7,8,8,8,9,6,7,8,9,9,9,9,8,9,9,9,0.48,6,,8,7,9,0,0,0,0,
185,175,male,25,23,2,asian/pacific islander/asian-american,other,0,3,4,statistics,12.24,20.41,16.33,14.29,20.41,16.33,2,7,7,5,7,2,16.98,15.09,16.98,16.98,18.87,15.09,10,10,7,8,8,3,8,8,4,7,6,7,8,8,8,9,6,7,8,9,9,9,9,8,9,9,9,0.56,6,,8,2,6,1,0,0,0,
185,176,male,25,28,3,asian/pacific islander/asian-american,asian/pacific islander/asian-american,1,3,4,statistics,13.04,21.74,19.57,17.39,15.22,13.04,6,5,6,6,7,4,16.98,15.09,16.98,16.98,18.87,15.09,10,10,7,8,8,3,8,8,4,7,6,7,8,8,8,9,6,7,8,9,9,9,9,8,9,9,9,0.16,6,,8,2,8,0,0,0,0,
185,177,male,25,22,3,asian/pacific islander/asian-american,european/caucasian-american,0,3,4,statistics,15.09,16.98,16.98,16.98,18.87,15.09,2,3,3,3,5,2,16.98,15.09,16.98,16.98,18.87,15.09,10,10,7,8,8,2,9,9,8,9,5,7,8,8,8,9,6,7,8,9,9,9,9,8,9,9,9,0.31,6,,8,6,10,0,0,0,0,
185,178,male,25,35,10,asian/pacific islander/asian-american,asian/pacific islander/asian-american,1,3,4,statistics,15.22,17.39,17.39,17.39,15.22,17.39,7,7,7,6,,,16.98,15.09,16.98,16.98,18.87,15.09,10,10,7,8,8,3,7,7,6,8,9,7,8,8,8,9,6,7,8,9,9,9,9,8,9,9,9,0.4,6,,8,7,9,0,0,1,0,
185,179,male,25,30,5,asian/pacific islander/asian-american,latino/hispanic american,0,3,4,statistics,19.15,21.28,17.02,17.02,12.77,12.77,4,6,6,5,6,6,16.98,15.09,16.98,16.98,18.87,15.09,10,10,7,8,8,8,8,9,9,9,10,7,8,8,8,9,6,7,8,9,9,9,9,8,9,9,9,0.41,6,,8,10,10,0,1,0,0,
185,180,male,25,24,1,asian/pacific islander/asian-american,asian/pacific islander/asian-american,1,3,4,statistics,15.38,17.31,17.31,19.23,13.46,17.31,4,4,4,3,3,3,16.98,15.09,16.98,16.98,18.87,15.09,10,10,7,8,8,9,10,8,8,8,5,7,8,8,8,9,6,7,8,9,9,9,9,8,9,9,9,0.16,6,,8,9,10,0,1,0,0,
185,181,male,25,22,3,asian/pacific islander/asian-american,black/african american,0,3,4,statistics,15.38,19.23,19.23,17.31,17.31,11.54,6,8,9,6,10,6,16.98,15.09,16.98,16.98,18.87,15.09,10,10,7,8,8,9,10,8,8,8,5,7,8,8,8,9,6,7,8,9,9,9,9,8,9,9,9,0.62,6,,8,9,10,0,1,1,1,
185,182,male,25,22,3,asian/pacific islander/asian-american,black/african american,0,3,4,statistics,16.07,17.86,17.86,17.86,17.86,12.5,7,7,8,9,8,8,16.98,15.09,16.98,16.98,18.87,15.09,10,10,7,8,8,6,8,9,9,9,5,7,8,8,8,9,6,7,8,9,9,9,9,8,9,9,9,0.42,6,,8,9,9,1,1,0,0,
185,183,male,25,24,1,asian/pacific islander/asian-american,european/caucasian-american,0,3,4,statistics,20,22.5,17.5,22.5,10,7.5,7,6,7,6,6,7,16.98,15.09,16.98,16.98,18.87,15.09,10,10,7,8,8,6,6,6,7,6,10,7,8,8,8,9,6,7,8,9,9,9,9,8,9,9,9,-0.01,6,,8,6,10,0,0,0,0,
186,174,male,24,29,5,asian/pacific islander/asian-american,asian/pacific islander/asian-american,1,4,3,medical informatics,9.52,23.81,16.67,16.67,16.67,16.67,5,5,6,6,6,6,19.44,19.44,22.22,16.67,11.11,11.11,4,8,4,7,6,4,6,6,,5,,1,4,9,5,3,6,1,1,6,7,4,7,8,8,6,3,0.35,7,,2,5,3,0,0,1,0,
186,175,male,24,23,1,asian/pacific islander/asian-american,other,0,4,3,medical informatics,12.24,20.41,16.33,14.29,20.41,16.33,2,8,8,7,8,6,19.44,19.44,22.22,16.67,11.11,11.11,4,8,4,7,6,7,6,6,6,5,7,1,4,9,5,3,6,1,1,6,7,4,7,8,8,6,3,0.48,7,,2,6,5,0,1,0,0,
186,176,male,24,28,4,asian/pacific islander/asian-american,asian/pacific islander/asian-american,1,4,3,medical informatics,13.04,21.74,19.57,17.39,15.22,13.04,7,8,7,6,5,6,19.44,19.44,22.22,16.67,11.11,11.11,4,8,4,7,6,8,7,7,6,7,8,1,4,9,5,3,6,1,1,6,7,4,7,8,8,6,3,0.5,7,,2,7,6,0,1,1,1,
186,177,male,24,22,2,asian/pacific islander/asian-american,european/caucasian-american,0,4,3,medical informatics,15.09,16.98,16.98,16.98,18.87,15.09,2,6,7,2,4,2,19.44,19.44,22.22,16.67,11.11,11.11,4,8,4,7,6,5,5,7,8,5,2,1,4,9,5,3,6,1,1,6,7,4,7,8,8,6,3,-0.06,7,,2,4,2,0,0,0,0,
186,178,male,24,35,11,asian/pacific islander/asian-american,asian/pacific islander/asian-american,1,4,3,medical informatics,15.22,17.39,17.39,17.39,15.22,17.39,5,7,7,5,,,19.44,19.44,22.22,16.67,11.11,11.11,4,8,4,7,6,5,6,6,2,,5,1,4,9,5,3,6,1,1,6,7,4,7,8,8,6,3,0.51,7,,2,3,3,0,1,1,1,
186,179,male,24,30,6,asian/pacific islander/asian-american,latino/hispanic american,0,4,3,medical informatics,19.15,21.28,17.02,17.02,12.77,12.77,4,8,7,6,6,7,19.44,19.44,22.22,16.67,11.11,11.11,4,8,4,7,6,7,7,7,8,7,6,1,4,9,5,3,6,1,1,6,7,4,7,8,8,6,3,0.36,7,,2,6,6,0,1,0,0,
186,180,male,24,24,0,asian/pacific islander/asian-american,asian/pacific islander/asian-american,1,4,3,medical informatics,15.38,17.31,17.31,19.23,13.46,17.31,6,7,7,5,5,6,19.44,19.44,22.22,16.67,11.11,11.11,4,8,4,7,6,7,7,,,,,1,4,9,5,3,6,1,1,6,7,4,7,8,8,6,3,0.34,7,,2,6,6,0,1,0,0,
186,181,male,24,22,2,asian/pacific islander/asian-american,black/african american,0,4,3,medical informatics,15.38,19.23,19.23,17.31,17.31,11.54,8,8,9,7,9,7,19.44,19.44,22.22,16.67,11.11,11.11,4,8,4,7,6,6,8,8,,8,,1,4,9,5,3,6,1,1,6,7,4,7,8,8,6,3,0.44,7,,2,5,4,0,1,1,1,
186,182,male,24,22,2,asian/pacific islander/asian-american,black/african american,0,4,3,medical informatics,16.07,17.86,17.86,17.86,17.86,12.5,6,8,10,9,10,8,19.44,19.44,22.22,16.67,11.11,11.11,4,8,4,7,6,5,7,6,5,5,,1,4,9,5,3,6,1,1,6,7,4,7,8,8,6,3,0.56,7,,2,4,3,0,0,0,0,
186,183,male,24,24,0,asian/pacific islander/asian-american,european/caucasian-american,0,4,3,medical informatics,20,22.5,17.5,22.5,10,7.5,8,8,8,7,6,5,19.44,19.44,22.22,16.67,11.11,11.11,4,8,4,7,6,7,7,6,6,5,3,1,4,9,5,3,6,1,1,6,7,4,7,8,8,6,3,0.4,7,,2,4,3,0,0,0,0,
187,174,male,26,29,3,european/caucasian-american,asian/pacific islander/asian-american,0,10,5,international finance, economic policy,9.52,23.81,16.67,16.67,16.67,[16-20],5,5,5,5,5,[6-8],16.98,16.98,18.87,16.98,13.21,[16-20],8,9,7,10,[6-8],6,8,,,,3,5,10,5,10,10,1,2,1,10,5,8,8,10,10,1,[0-5],[0.33-1],6,,[0-2],5,[7-10],0,1,1,1
187,175,male,26,23,3,european/caucasian-american,other,0,10,5,international finance, economic policy,12.24,20.41,16.33,14.29,20.41,[16-20],4,6,7,7,6,[6-8],16.98,16.98,18.87,16.98,13.21,[16-20],8,9,7,10,[6-8],6,,10,5,,3,5,10,5,10,10,1,2,1,10,5,8,8,10,10,1,[0-5],[0.33-1],6,,[0-2],3,[0-4],0,0,0,0
187,176,male,26,28,2,european/caucasian-american,asian/pacific islander/asian-american,0,10,5,international finance, economic policy,13.04,21.74,19.57,17.39,15.22,[0-15],5,5,5,5,5,[0-5],16.98,16.98,18.87,16.98,13.21,[16-20],8,9,7,10,[6-8],,,,,,3,5,10,5,10,10,1,2,1,10,5,8,8,10,10,1,[0-5],[0.33-1],6,,[0-2],,[0-4],,0,0,0
187,177,male,26,22,4,european/caucasian-american,european/caucasian-american,1,10,5,international finance, economic policy,15.09,16.98,16.98,16.98,18.87,[16-20],4,6,7,5,,[0-5],16.98,16.98,18.87,16.98,13.21,[16-20],8,9,7,10,[6-8],4,,,,,3,5,10,5,10,10,1,2,1,10,5,8,8,10,10,1,[0-5],[0-0.33],6,,[0-2],5,[7-10],0,0,0,0
187,178,male,26,35,9,european/caucasian-american,asian/pacific islander/asian-american,0,10,5,international finance, economic policy,15.22,17.39,17.39,17.39,15.22,[16-20],4,7,7,5,,[0-5],16.98,16.98,18.87,16.98,13.21,[16-20],8,9,7,10,[6-8],,,,,,3,5,10,5,10,10,1,2,1,10,5,8,8,10,10,1,[0-5],[0.33-1],6,,[0-2],,[0-4],,0,0,0
187,179,male,26,30,4,european/caucasian-american,latino/hispanic american,0,10,5,international finance, economic policy,19.15,21.28,17.02,17.02,12.77,[0-15],4,8,7,6,6,[6-8],16.98,16.98,18.87,16.98,13.21,[16-20],8,9,7,10,[6-8],7,7,7,8,,3,5,10,5,10,10,1,2,1,10,5,8,8,10,10,1,[0-5],[0.33-1],6,,[0-2],7,[7-10],0,1,0,0
187,180,male,26,24,2,european/caucasian-american,asian/pacific islander/asian-american,0,10,5,international finance, economic policy,15.38,17.31,17.31,19.23,13.46,[16-20],5,5,5,5,5,[0-5],16.98,16.98,18.87,16.98,13.21,[16-20],8,9,7,10,[6-8],,,7,7,,3,5,10,5,10,10,1,2,1,10,5,8,8,10,10,1,[0-5],[-1-0],6,,[0-2],7,[7-10],0,1,0,0
187,181,male,26,22,4,european/caucasian-american,black/african american,0,10,5,international finance, economic policy,15.38,19.23,19.23,17.31,17.31,[0-15],4,4,4,4,4,[0-5],16.98,16.98,18.87,16.98,13.21,[16-20],8,9,7,10,[6-8],,,,,,3,5,10,5,10,10,1,2,1,10,5,8,8,10,10,1,[0-5],[0.33-1],6,,[0-2],,[0-4],,0,0,0
187,182,male,26,22,4,european/caucasian-american,black/african american,0,10,5,international finance, economic policy,16.07,17.86,17.86,17.86,17.86,[0-15],6,8,9,8,9,[9-10],16.98,16.98,18.87,16.98,13.21,[16-20],8,9,7,10,[6-8],,,,,,3,5,10,5,10,10,1,2,1,10,5,8,8,10,10,1,[0-5],[0-0.33],6,,[0-2],5,[5-6],0,0,0,0
187,183,male,26,24,2,european/caucasian-american,european/caucasian-american,1,10,5,international finance, economic policy,20,22.5,17.5,22.5,10,[0-15],6,6,6,6,6,[6-8],16.98,16.98,18.87,16.98,13.21,[16-20],8,9,7,10,[6-8],4,,,1,,3,5,10,5,10,10,1,2,1,10,5,8,8,10,10,1,[0-5],[-1-0],6,,[0-2],1,[0-4],0,0,0,0
188,174,male,21,29,8,european/caucasian-american,asian/pacific islander/asian-american,0,1,1,electrical engineering,9.52,23.81,16.67,16.67,16.67,16.67,5,5,5,5,5,5,15.56,11.11,22.22,15.56,20,15.56,7,5,7,10,10,4,5,5,5,5,5,1,5,10,8,8,5,7,5,7,3,5,5,5,7,7,3,0.51,6,,0,2,1,0,0,1,0,
188,175,male,21,23,2,european/caucasian-american,other,0,1,1,electrical engineering,12.24,20.41,16.33,14.29,20.41,16.33,4,7,7,7,7,7,15.56,11.11,22.22,15.56,20,15.56,7,5,7,10,10,6,5,6,5,5,5,1,5,10,8,8,5,7,5,7,3,5,5,5,7,7,3,0.43,6,,0,4,2,0,1,1,1,
188,176,male,21,28,7,european/caucasian-american,asian/pacific islander/asian-american,0,1,1,electrical engineering,13.04,21.74,19.57,17.39,15.22,13.04,7,5,6,8,6,4,15.56,11.11,22.22,15.56,20,15.56,7,5,7,10,10,6,5,7,5,5,7,1,5,10,8,8,5,7,5,7,3,5,5,5,7,7,3,0.43,6,,0,4,2,0,0,0,0,
188,177,male,21,22,1,european/caucasian-american,european/caucasian-american,1,1,1,electrical engineering,15.09,16.98,16.98,16.98,18.87,15.09,1,6,6,3,4,2,15.56,11.11,22.22,15.56,20,15.56,7,5,7,10,10,3,4,5,5,5,5,1,5,10,8,8,5,7,5,7,3,5,5,5,7,7,3,-0.13,6,,0,2,1,0,0,0,0,
188,178,male,21,35,14,european/caucasian-american,asian/pacific islander/asian-american,0,1,1,electrical engineering,15.22,17.39,17.39,17.39,15.22,17.39,5,6,7,5,,,15.56,11.11,22.22,15.56,20,15.56,7,5,7,10,10,5,5,6,5,5,5,1,5,10,8,8,5,7,5,7,3,5,5,5,7,7,3,0.41,6,,0,3,1,0,1,0,0,
188,179,male,21,30,9,european/caucasian-american,latino/hispanic american,0,1,1,electrical engineering,19.15,21.28,17.02,17.02,12.77,12.77,4,8,7,6,7,6,15.56,11.11,22.22,15.56,20,15.56,7,5,7,10,10,7,6,6,6,5,6,1,5,10,8,8,5,7,5,7,3,5,5,5,7,7,3,0.46,6,,0,3,1,0,0,0,0,
188,180,male,21,24,3,european/caucasian-american,asian/pacific islander/asian-american,0,1,1,electrical engineering,15.38,17.31,17.31,19.23,13.46,17.31,7,8,8,7,8,5,15.56,11.11,22.22,15.56,20,15.56,7,5,7,10,10,8,8,5,8,5,8,1,5,10,8,8,5,7,5,7,3,5,5,5,7,7,3,-0.07,6,,0,6,2,0,1,0,0,
188,181,male,21,22,1,european/caucasian-american,black/african american,0,1,1,electrical engineering,15.38,19.23,19.23,17.31,17.31,11.54,4,4,4,4,4,4,15.56,11.11,22.22,15.56,20,15.56,7,5,7,10,10,6,7,5,6,2,5,1,5,10,8,8,5,7,5,7,3,5,5,5,7,7,3,0.4,6,,0,3,2,0,1,0,0,
188,182,male,21,22,1,european/caucasian-american,black/african american,0,1,1,electrical engineering,16.07,17.86,17.86,17.86,17.86,12.5,1,7,8,9,10,9,15.56,11.11,22.22,15.56,20,15.56,7,5,7,10,10,5,7,7,6,7,5,1,5,10,8,8,5,7,5,7,3,5,5,5,7,7,3,0.1,6,,0,2,1,0,0,0,0,
188,183,male,21,24,3,european/caucasian-american,european/caucasian-american,1,1,1,electrical engineering,20,22.5,17.5,22.5,10,7.5,6,7,7,7,7,6,15.56,11.11,22.22,15.56,20,15.56,7,5,7,10,10,4,5,5,5,5,5,1,5,10,8,8,5,7,5,7,3,5,5,5,7,7,3,0.31,6,,0,3,1,0,0,0,0,
189,174,male,27,29,2,other,asian/pacific islander/asian-american,0,6,1,law and social work,9.52,23.81,16.67,16.67,16.67,16.67,5,5,5,5,5,5,16.98,16.98,16.98,16.98,16.98,15.09,8,8,8,8,9,5,8,7,5,5,4,7,8,5,7,7,7,7,7,9,5,7,9,7,8,4,7,0.22,5,,0,5,7,0,0,1,0,
189,175,male,27,23,4,other,other,1,6,1,law and social work,12.24,20.41,16.33,14.29,20.41,16.33,4,7,7,6,6,7,16.98,16.98,16.98,16.98,16.98,15.09,8,8,8,8,9,6,6,5,5,4,5,7,8,5,7,7,7,7,7,9,5,7,9,7,8,4,7,0.1,5,,0,6,2,0,0,1,0,
189,176,male,27,28,1,other,asian/pacific islander/asian-american,0,6,1,law and social work,13.04,21.74,19.57,17.39,15.22,13.04,6,7,7,5,5,3,16.98,16.98,16.98,16.98,16.98,15.09,8,8,8,8,9,8,8,5,6,4,5,7,8,5,7,7,7,7,7,9,5,7,9,7,8,4,7,-0.05,5,,0,7,2,0,0,0,0,
189,177,male,27,22,5,other,european/caucasian-american,0,6,1,law and social work,15.09,16.98,16.98,16.98,18.87,15.09,4,6,6,3,5,4,16.98,16.98,16.98,16.98,16.98,15.09,8,8,8,8,9,5,6,6,5,9,5,7,8,5,7,7,7,7,7,9,5,7,9,7,8,4,7,0.05,5,,0,5,7,0,0,0,0,
189,178,male,27,35,8,other,asian/pacific islander/asian-american,0,6,1,law and social work,15.22,17.39,17.39,17.39,15.22,17.39,7,7,7,5,,,16.98,16.98,16.98,16.98,16.98,15.09,8,8,8,8,9,5,8,8,5,5,6,7,8,5,7,7,7,7,7,9,5,7,9,7,8,4,7,-0.02,5,,0,6,5,0,0,1,0,
189,179,male,27,30,3,other,latino/hispanic american,0,6,1,law and social work,19.15,21.28,17.02,17.02,12.77,12.77,4,8,7,5,7,7,16.98,16.98,16.98,16.98,16.98,15.09,8,8,8,8,9,7,8,8,8,8,7,7,8,5,7,7,7,7,7,9,5,7,9,7,8,4,7,0.13,5,,0,8,7,0,0,0,0,
189,180,male,27,24,3,other,asian/pacific islander/asian-american,0,6,1,law and social work,15.38,17.31,17.31,19.23,13.46,17.31,7,6,7,6,6,5,16.98,16.98,16.98,16.98,16.98,15.09,8,8,8,8,9,6,8,8,6,6,5,7,8,5,7,7,7,7,7,9,5,7,9,7,8,4,7,-0.27,5,,0,6,7,0,0,0,0,
189,181,male,27,22,5,other,black/african american,0,6,1,law and social work,15.38,19.23,19.23,17.31,17.31,11.54,5,10,8,8,9,4,16.98,16.98,16.98,16.98,16.98,15.09,8,8,8,8,9,6,7,7,6,7,6,7,8,5,7,7,7,7,7,9,5,7,9,7,8,4,7,-0.22,5,,0,6,7,0,0,1,0,
189,182,male,27,22,5,other,black/african american,0,6,1,law and social work,16.07,17.86,17.86,17.86,17.86,12.5,6,8,8,8,9,8,16.98,16.98,16.98,16.98,16.98,15.09,8,8,8,8,9,5,7,6,6,7,5,7,8,5,7,7,7,7,7,9,5,7,9,7,8,4,7,-0.22,5,,0,6,7,0,0,0,0,
189,183,male,27,24,3,other,european/caucasian-american,0,6,1,law and social work,20,22.5,17.5,22.5,10,7.5,6,8,8,7,6,9,16.98,16.98,16.98,16.98,16.98,15.09,8,8,8,8,9,6,8,7,7,7,6,7,8,5,7,7,7,7,7,9,5,7,9,7,8,4,7,0.05,5,,0,7,7,0,0,0,0,
190,174,male,25,29,4,european/caucasian-american,asian/pacific islander/asian-american,0,1,1,international development,9.52,23.81,16.67,16.67,16.67,16.67,5,5,6,6,6,6,15.56,20,20,20,13.33,11.11,7,7,7,7,7,5,8,8,8,4,,7,8,3,2,2,6,5,9,8,2,4,7,9,10,3,1,0.21,8,,5,4,6,0,0,1,0,
190,175,male,25,23,2,european/caucasian-american,other,0,1,1,international development,12.24,20.41,16.33,14.29,20.41,16.33,7,8,7,7,5,7,15.56,20,20,20,13.33,11.11,7,7,7,7,7,9,8,8,9,8,10,7,8,3,2,2,6,5,9,8,2,4,7,9,10,3,1,0.05,8,,5,7,5,1,1,1,1,
190,176,male,25,28,3,european/caucasian-american,asian/pacific islander/asian-american,0,1,1,international development,13.04,21.74,19.57,17.39,15.22,13.04,8,7,6,8,6,2,15.56,20,20,20,13.33,11.11,7,7,7,7,7,9,,8,7,9,3,7,8,3,2,2,6,5,9,8,2,4,7,9,10,3,1,-0.34,8,,5,7,5,,1,0,0,
190,177,male,25,22,3,european/caucasian-american,european/caucasian-american,1,1,1,international development,15.09,16.98,16.98,16.98,18.87,15.09,6,7,7,8,8,3,15.56,20,20,20,13.33,11.11,7,7,7,7,7,5,,5,8,5,,7,8,3,2,2,6,5,9,8,2,4,7,9,10,3,1,-0.03,8,,5,4,5,1,0,1,0,
190,178,male,25,35,10,european/caucasian-american,asian/pacific islander/asian-american,0,1,1,international development,15.22,17.39,17.39,17.39,15.22,17.39,7,5,7,7,5,,15.56,20,20,20,13.33,11.11,7,7,7,7,7,3,9,8,9,,9,7,8,3,2,2,6,5,9,8,2,4,7,9,10,3,1,0.01,8,,5,5,5,0,0,1,0,
